Group,Label,Description,Format,Hex,Instruction,Bytes,Cycles,Aliases
Numeric,AAA,ASCII Adjust After Addition,AAA,37,00110111,1,9,ADJBA
Numeric,AAD,ASCII Adjust AX Before Division,AAD imm8,B5 ii,11010100 iiiiiiii,2,6,CVTDB
Numeric,AAM,ASCII Adjust AX After Multiply,AAM imm8,B4 ii,11010100 iiiiiiii,2,17,CVTBD
Numeric,AAS,ASCII Adjust AL After Subtraction,AAS,3F,00111111,1,9,ADJBS
Arithmetic,ADC,Add With Carry,"ADC AL, imm",14 ii,00010100 iiiiiiii,2,1,ADDC
Arithmetic,ADC,Add With Carry,"ADC AX, imm",15 ii ii,00010101 iiiiiiii iiiiiiii,3,1,ADDC
Arithmetic,ADC,Add With Carry,"ADC mem8, imm8",80 /2 ii,10000000 oo010mmm iiiiiiii,3+,3,ADDC
Arithmetic,ADC,Add With Carry,"ADC mem16, imm16",81 /2 ii ii,10000001 oo010mmm iiiiiiii iiiiiiii,4+,3,ADDC
Arithmetic,ADC,Add With Carry,"ADC mem16, simm8",83 /2 ii,10000011 oo010mmm iiiiiiii,3+,3,ADDC
Arithmetic,ADC,Add With Carry,"ADC mem8, reg8",10 /r,00010000 oorrrmmm,2+,3,ADDC
Arithmetic,ADC,Add With Carry,"ADC mem16, reg16",11 /r,00010001 oorrrmmm,2+,3,ADDC
Arithmetic,ADC,Add With Carry,"ADC reg8, imm8",80 /2 ii,10000000 11010mmm iiiiiiii,3,1,ADDC
Arithmetic,ADC,Add With Carry,"ADC reg16, imm16",81 /2 ii ii,10000001 11010mmm iiiiiiii iiiiiiii,4,1,ADDC
Arithmetic,ADC,Add With Carry,"ADC reg16, simm8",83 /2 ii,10000011 11010mmm iiiiiiii,3,1,ADDC
Arithmetic,ADC,Add With Carry,"ADC reg8, mem8",12 /r,00010010 oorrrmmm,2+,2,ADDC
Arithmetic,ADC,Add With Carry,"ADC reg16, mem16",13 /r,00010011 oorrrmmm,2+,2,ADDC
Arithmetic,ADC,Add With Carry,"ADC reg8, reg8",10 /r,000100.0 11rrrmmm,2,1,ADDC
Arithmetic,ADC,Add With Carry,"ADC reg16, reg16",11 /r,000100.1 11rrrmmm,2,1,ADDC
Arithmetic,ADD,Add,"ADD AL, imm",04 ii,00000100 iiiiiiii,2,1,-
Arithmetic,ADD,Add,"ADD AX, imm",05 ii ii,00000101 iiiiiiii iiiiiiii,3,1,-
Arithmetic,ADD,Add,"ADD mem8, imm8",80 /0 ii,10000000 oo000mmm iiiiiiii,3+,3,-
Arithmetic,ADD,Add,"ADD mem16, imm16",81 /0 ii ii,10000001 oo000mmm iiiiiiii iiiiiiii,4+,3,-
Arithmetic,ADD,Add,"ADD mem16, simm8",83 /0 ii,10000011 oo000mmm iiiiiiii,3+,3,-
Arithmetic,ADD,Add,"ADD mem8, reg8",00 /r,00000000 oorrrmmm,2+,3,-
Arithmetic,ADD,Add,"ADD mem16, reg16",01 /r,00000001 oorrrmmm,2+,3,-
Arithmetic,ADD,Add,"ADD reg8, imm8",80 /0 ii,10000000 11000mmm iiiiiiii,3,1,-
Arithmetic,ADD,Add,"ADD reg16, imm16",81 /0 ii ii,10000001 11000mmm iiiiiiii iiiiiiii,4,1,-
Arithmetic,ADD,Add,"ADD reg16, simm8",83 /0 ii,10000011 11000mmm iiiiiiii,3,1,-
Arithmetic,ADD,Add,"ADD reg8, mem8",02 /r,00000010 oorrrmmm,2+,2,-
Arithmetic,ADD,Add,"ADD reg16, mem16",03 /r,00000011 oorrrmmm,2+,2,-
Arithmetic,ADD,Add,"ADD reg8, reg8",00 /r,000000.0 11rrrmmm,2,1,-
Arithmetic,ADD,Add,"ADD reg16, reg16",01 /r,000000.1 11rrrmmm,2,1,-
Bitwise,AND,Logical AND,"AND AL, imm",24 ii,00100100 iiiiiiii,2,1,-
Bitwise,AND,Logical AND,"AND AX, imm",25 ii ii,00100101 iiiiiiii iiiiiiii,3,1,-
Bitwise,AND,Logical AND,"AND mem8, imm8",80 /4 ii,10000000 oo100mmm iiiiiiii,3+,3,-
Bitwise,AND,Logical AND,"AND mem16, imm16",81 /4 ii ii,10000001 oo100mmm iiiiiiii iiiiiiii,4+,3,-
Bitwise,AND,Logical AND,"AND mem16, simm8",83 /4 ii,10000011 oo100mmm iiiiiiii,3+,3,-
Bitwise,AND,Logical AND,"AND mem8, reg8",20 /r,00100000 oorrrmmm,2+,3,-
Bitwise,AND,Logical AND,"AND mem16, reg16",21 /r,00100001 oorrrmmm,2+,3,-
Bitwise,AND,Logical AND,"AND reg8, imm8",80 /4 ii,10000000 11100mmm iiiiiiii,3,1,-
Bitwise,AND,Logical AND,"AND reg16, imm16",81 /4 ii ii,10000001 11100mmm iiiiiiii iiiiiiii,4,1,-
Bitwise,AND,Logical AND,"AND reg16, simm8",83 /4 ii,10000011 11100mmm iiiiiiii,3,1,-
Bitwise,AND,Logical AND,"AND reg8, mem8",22 /r,00100010 oorrrmmm,2+,2,-
Bitwise,AND,Logical AND,"AND reg16, mem16",23 /r,00100011 oorrrmmm,2+,2,-
Bitwise,AND,Logical AND,"AND reg8, reg8",20 /r,001000.0 11rrrmmm,2,1,-
Bitwise,AND,Logical AND,"AND reg16, reg16",21 /r,001000.1 11rrrmmm,2,1,-
Interrupt,BOUND,Check Index Against Bounds,"BOUND reg16, mem16:16",62 /r,01100010 oorrrmmm,2+,13 (20 if condition met),CHKIND
Jump,CALL,Call Procedure,CALL ptr16:16,CA oo oo ss ss,10011010 oooooooo oooooooo ssssssss ssssssss,5,10,-
Jump,CALL,Call Procedure,CALL mem16,FF /2,11111111 oo010mmm,2+,6,-
Jump,CALL,Call Procedure,CALL mem16:16,FF /3,11111111 oo011mmm,2+,12,-
Jump,CALL,Call Procedure,CALL reg16,FF /2,11111111 11010mmm,2,5,-
Jump,CALL,Call Procedure,CALL rel16,E8 ii ii,11101000 iiiiiiii iiiiiiii,3,5,-
Numeric,CBW,Convert Byte to Word,CBW,98,10011000,1,1,CVTBW
Flags,CLC,Clear Carry Flag,CLC,F8,11111000,1,4,CLR1 CY
Flags,CLD,Clear Direction Flag,CLD,FC,11111100,1,4,CLR1 DIR
Flags,CLI,Clear Interrupt Flag,CLI,FA,11111010,1,4,DI
Flags,CMC,Complement Carry Flag,CMC,F5,11110101,1,4,NOT1 CY
Arithmetic,CMP,Compare Two Operands,"CMP AL, imm",3C ii,00111100 iiiiiiii,2,1,-
Arithmetic,CMP,Compare Two Operands,"CMP AX, imm",3D ii ii,00111101 iiiiiiii iiiiiiii,3,1,-
Arithmetic,CMP,Compare Two Operands,"CMP mem8, imm8",80 /7 ii,10000000 oo111mmm iiiiiiii,3+,2,-
Arithmetic,CMP,Compare Two Operands,"CMP mem16, imm16",81 /7 ii ii,10000001 oo111mmm iiiiiiii iiiiiiii,4+,2,-
Arithmetic,CMP,Compare Two Operands,"CMP mem16, simm8",83 /7 ii,10000011 oo111mmm iiiiiiii,3+,2,-
Arithmetic,CMP,Compare Two Operands,"CMP mem8, reg8",38 /r,00111000 oorrrmmm,2+,2,-
Arithmetic,CMP,Compare Two Operands,"CMP mem16, reg16",39 /r,00111001 oorrrmmm,2+,2,-
Arithmetic,CMP,Compare Two Operands,"CMP reg8, imm8",80 /7 ii,10000000 11111mmm iiiiiiii,3,1,-
Arithmetic,CMP,Compare Two Operands,"CMP reg16, imm16",81 /7 ii ii,10000001 11111mmm iiiiiiii iiiiiiii,4,1,-
Arithmetic,CMP,Compare Two Operands,"CMP reg16, simm8",83 /7 ii,10000011 11111mmm iiiiiiii,3,1,-
Arithmetic,CMP,Compare Two Operands,"CMP reg8, mem8",3A /r,00111010 oorrrmmm,2+,2,-
Arithmetic,CMP,Compare Two Operands,"CMP reg16, mem16",3B /r,00111011 oorrrmmm,2+,2,-
Arithmetic,CMP,Compare Two Operands,"CMP reg8, reg8",38 /r,001110.0 11rrrmmm,2,1,-
Arithmetic,CMP,Compare Two Operands,"CMP reg16, reg16",39 /r,001110.1 11rrrmmm,2,1,-
String,CMPSB,Compare String Operands,CMPSB,A6,10100110,1,6,CMPBKB
String,CMPSW,Compare String Operands,CMPSW,A7,10100111,1,6,CMPBKW
Prefix,CS,,CS,2E,00101110,1,1,PS
Numeric,CWD,Convert Word to Doubleword,CWD,99,10011001,1,1,CVTWL
Numeric,DAA,Decimal Adjust AL After Addition,DAA,27,00100111,1,10,ADJ4A
Numeric,DAS,Decimal Adjust AL After Subtraction,DAS,2F,00101111,1,10,ADJ4S
Arithmetic,DEC,Decrement by 1,DEC mem8,FE /1,11111110 oo001mmm,2+,3,-
Arithmetic,DEC,Decrement by 1,DEC mem16,FF /1,11111111 oo001mmm,2+,3,-
Arithmetic,DEC,Decrement by 1,DEC reg8,FE /1,11111110 11001mmm,2+,1,-
Arithmetic,DEC,Decrement by 1,DEC reg16,4x,01001rrr,1,1,-
Arithmetic,DIV,Unsigned Divide,DIV mem8,F6 /6,11110110 oo110mmm,2+,16,DIVU
Arithmetic,DIV,Unsigned Divide,DIV mem16,F7 /6,11111111 oo110mmm,2+,24,DIVU
Arithmetic,DIV,Unsigned Divide,DIV reg8,F6 /6,11111110 11110mmm,2,15,DIVU
Arithmetic,DIV,Unsigned Divide,DIV reg16,F7 /6,11111111 11110mmm,2,23,DIVU
Prefix,DS,,DS,3E,00111110,1,1,DS0
Other,ENTER,Make Stack Frame for Params,"ENTER imm16, imm8",C8 ii ii jj,11001000 iiiiiiii iiiiiiii jjjjjjjj,3,8 (imm8 = 0)14 (imm8 = 1)15 + imm8 * 4 (imm8 >= 2),PREPARE
Prefix,ES,,ES,26,00100110,1,1,DS1
Interrupt,HLT,Halt,HLT,F4,11110100,1,9,HALT
Arithmetic,IDIV,Signed Divide,IDIV mem8,F6 /7,11110110 oo111mmm,2+,18,DIV
Arithmetic,IDIV,Signed Divide,IDIV mem16,F7 /7,11111111 oo111mmm,2+,25,DIV
Arithmetic,IDIV,Signed Divide,IDIV reg8,F6 /7,11111110 11111mmm,2,17,DIV
Arithmetic,IDIV,Signed Divide,IDIV reg16,F7 /7,11111111 11111mmm,2,24,DIV
Arithmetic,IMUL,Signed Multiply,IMUL mem8,F6 /5,11110110 oo101mmm,2+,4,MUL
Arithmetic,IMUL,Signed Multiply,IMUL mem16,F7 /5,11111111 oo101mmm,2+,4,MUL
Arithmetic,IMUL,Signed Multiply,IMUL reg8,F6 /5,11111110 11101mmm,2,3,MUL
Arithmetic,IMUL,Signed Multiply,IMUL reg16,F7 /5,11111111 11101mmm,2,3,MUL
Arithmetic,IMUL,Signed Multiply,"IMUL reg16, mem16, imm16",69 /r ii ii,11111111 oorrrmmm iiiiiiii iiiiiiii,4,4,MUL
Arithmetic,IMUL,Signed Multiply,"IMUL reg16, mem16, simm8",6B /r ii,11111111 oorrrmmm iiiiiiii,3,4,MUL
Arithmetic,IMUL,Signed Multiply,"IMUL reg16, reg16, imm16",69 /r ii ii,11111111 11rrrmmm iiiiiiii iiiiiiii,4,3,MUL
Arithmetic,IMUL,Signed Multiply,"IMUL reg16, reg16, simm8",6B /r ii,11111111 11rrrmmm iiiiiiii,3,3,MUL
Ports,IN,Input From Port,"IN AL, DX",EC,11101100,1,6,-
Ports,IN,Input From Port,"IN AX, DX",ED,11101101,1,6,-
Ports,IN,Input From Port,"IN AL, imm8",E4 ii,11100100 iiiiiiii,2,6,-
Ports,IN,Input From Port,"IN AX, imm8",E5 ii,11100101 iiiiiiii,2,6,-
Arithmetic,INC,Increment by 1,INC mem8,FE /0,11111110 oo000mmm,2+,3,-
Arithmetic,INC,Increment by 1,INC mem16,FF /0,11111111 oo000mmm,2+,3,-
Arithmetic,INC,Increment by 1,INC reg8,FE /0,11111110 11000mmm,2+,1,-
Arithmetic,INC,Increment by 1,INC reg16,4x,01000rrr,1,1,-
Ports,INSB,Input from Port to String,INSB,6C,01101100,1,6,INMB
Ports,INSW,Input from Port to String,INSW,6D,01101101,1,6,INMW
Interrupt,INT,Call to Interrupt,INT 3,CC,11001100,1,9,BRK
Interrupt,INT,Call to Interrupt,INT imm8,CD ii,11001101 iiiiiiii,2,10,BRK
Interrupt,INTO,Call to Interrupt,INTO,CE,11001110,1,6 (13 if OF = 1),BRKV
Interrupt,IRET,Interrupt Return,IRET,CF,11001111,1,10,RETI
Branch,JA,,JA rel8,77 ii,01110111 iiiiiiii,2,1 (4 if branch taken),BH
Branch,JBE,,JBE rel8,76 ii,01110110 iiiiiiii,2,1 (4 if branch taken),BNH
Branch,JC,,JC rel8,72 ii,01110010 iiiiiiii,2,1 (4 if branch taken),BC | BL | JB
Branch,JCXZ,,JCXZ rel8,E3 ii,11100011 iiiiiiii,2,1 (4 if branch taken),BCWZ
Branch,JG,,JG rel8,7F ii,01111111 iiiiiiii,2,1 (4 if branch taken),BGT
Branch,JGE,,JGE rel8,7D ii,01111101 iiiiiiii,2,1 (4 if branch taken),BGE
Branch,JL,,JL rel8,7C ii,01111100 iiiiiiii,2,1 (4 if branch taken),BLT
Branch,JLE,,JLE rel8,7E ii,01111110 iiiiiiii,2,1 (4 if branch taken),BLE
Jump,JMP,,JMP ptr16:16,EA oo oo ss ss,11101010 oooooooo oooooooo ssssssss ssssssss,5,7,BR
Jump,JMP,,JMP mem16,FF /4,11111111 oo100mmm,2+,5,BR
Jump,JMP,,JMP mem16:16,FF /5,11111111 oo101mmm,2+,10,BR
Jump,JMP,,JMP reg16,FF /4,11111111 11100mmm,2,4,BR
Jump,JMP,,JMP rel8,EB ii,11101011 iiiiiiii,2,4,BR
Jump,JMP,,JMP rel16,E9 ii ii,11101001 iiiiiiii iiiiiiii,3,4,BR
Branch,JNC,,JNC rel8,73 ii,01110011 iiiiiiii,2,1 (4 if branch taken),BNC | BNL | JAE
Branch,JNO,,JNO rel8,71 ii,01110001 iiiiiiii,2,1 (4 if branch taken),BNV
Branch,JNP,,JNP rel8,7B ii,01111011 iiiiiiii,2,1 (4 if branch taken),BPO
Branch,JNS,,JNS rel8,79 ii,01111001 iiiiiiii,2,1 (4 if branch taken),BP
Branch,JNZ,,JNZ rel8,75 ii,01110101 iiiiiiii,2,1 (4 if branch taken),BNE | BNZ | JNE
Branch,JO,,JO rel8,70 ii,01110000 iiiiiiii,2,1 (4 if branch taken),BV
Branch,JP,,JP rel8,7A ii,01111010 iiiiiiii,2,1 (4 if branch taken),BPE
Branch,JS,,JS rel8,78 ii,01111000 iiiiiiii,2,1 (4 if branch taken),BN
Branch,JZ,,JZ rel8,74 ii,01110100 iiiiiiii,2,1 (4 if branch taken),BE | BZ | JE
Flags,LAHF,Load Status Flags Into AH Register,LAHF,9F,10011111,1,2,MOV
Memory,LDS,Load Far Pointer,"LDS reg16, mem16",C5 /r,11000101 oorrrmmm,2+,6,MOV
Memory,LEA,Load Effective Address,"LEA reg16, mem16",8D /r,10001101 oorrrmmm,2+,1,LDEA
Other,LEAVE,High Level Procedure Exit,LEAVE,C9,11001001,1,2,DISPOSE
Memory,LES,Load Far Pointer,"LES reg16, mem16",C4 /r,11000100 oorrrmmm,2+,6,MOV
Other,LOCK,Assert LOCK Signal Prefix,LOCK,F0,11110000,1,1,BUSLOCK
String,LODSB,Load String,LODSB,AC,10101100,1,3,LDMB
String,LODSW,Load String,LODSW,AD,10101101,1,3,LDMW
Loop,LOOP,Loop According to ECX Counter,LOOP rel8,E2 ii,11100010 iiiiiiii,2,2 (5 if branch taken),DBNZ
Loop,LOOPE,,LOOPE rel8,E1 ii,11100001 iiiiiiii,2,3 (6 if branch taken),DBNZE
Loop,LOOPNE,,LOOPNE rel8,E0 ii,11100000 iiiiiiii,2,3 (6 if branch taken),DBNZNE
Memory,MOV,Move,"MOV AL, ptr16",A0 ii ii,10100000 iiiiiiii iiiiiiii,3,1,-
Memory,MOV,Move,"MOV AX, ptr16",A1 ii ii,10100001 iiiiiiii iiiiiiii,3,1,-
Memory,MOV,Move,"MOV mem8, imm8",C6 /0 ii,11000110 oo000mmm iiiiiiii,3+,1,-
Memory,MOV,Move,"MOV mem16, imm16",C7 /0 ii ii,11000111 oo000mmm iiiiiiii iiiiiiii,4+,1,-
Memory,MOV,Move,"MOV mem8, reg8",88 /r,10001000 oorrrmmm,2+,1,-
Memory,MOV,Move,"MOV mem16, reg16",89 /r,10001001 oorrrmmm,2+,1,-
Memory,MOV,Move,"MOV mem16, sreg16",8C /r,10001100 oo0rrmmm,2+,3,-
Memory,MOV,Move,"MOV ptr16, AL",A2 ii ii,10100010 iiiiiiii iiiiiiii,3,1,-
Memory,MOV,Move,"MOV ptr16, AX",A3 ii ii,10100011 iiiiiiii iiiiiiii,3,1,-
Memory,MOV,Move,"MOV reg8, imm8",Bx ii,10110rrr iiiiiiii,2,1,-
Memory,MOV,Move,"MOV reg8, imm8",C6 /0 ii,11000110 11000mmm iiiiiiii,3,1,-
Memory,MOV,Move,"MOV reg16, imm16",Bx ii,10111rrr iiiiiiii iiiiiiii,3,1,-
Memory,MOV,Move,"MOV reg16, imm16",C7 /0 ii ii,11000111 11000mmm iiiiiiii iiiiiiii,4,1,-
Memory,MOV,Move,"MOV reg8, mem8",8A /r,10001010 oorrrmmm,2+,1,-
Memory,MOV,Move,"MOV reg16, mem16",8B /r,10001011 oorrrmmm,2+,1,-
Memory,MOV,Move,"MOV reg8, reg8",88 /r,100010.0 11rrrmmm,2,1,-
Memory,MOV,Move,"MOV reg16, reg16",89 /r,100010.1 11rrrmmm,2,1,-
Memory,MOV,Move,"MOV reg16, sreg16",8C /r,10001100 110rrmmm,2,1,-
Memory,MOV,Move,"MOV sreg16, mem16",8E /r,10001110 oo0rrmmm,2,3,-
Memory,MOV,Move,"MOV sreg16, reg16",8E /r,10001110 110rrmmm,2+,2,-
String,MOVSB,Move Data From String to String,MOVSB,A4,10100100,1,5,MOVBKB
String,MOVSW,Move Data From String to String,MOVSW,A5,10100101,1,5,MOVBKW
Arithmetic,MUL,Unsigned Multiply,MUL mem8,F6 /4,11110110 oo100mmm,2+,4,MULU
Arithmetic,MUL,Unsigned Multiply,MUL mem16,F7 /4,11111111 oo100mmm,2+,4,MULU
Arithmetic,MUL,Unsigned Multiply,MUL reg8,F6 /4,11111110 11100mmm,2,3,MULU
Arithmetic,MUL,Unsigned Multiply,MUL reg16,F7 /4,11111111 11100mmm,2,3,MULU
Arithmetic,NEG,Two's Complement Negation,NEG mem8,F6 /3,11110110 oo011mmm,2+,3,-
Arithmetic,NEG,Two's Complement Negation,NEG mem16,F7 /3,11111111 oo011mmm,2+,3,-
Arithmetic,NEG,Two's Complement Negation,NEG reg8,F6 /3,11111110 11011mmm,2,1,-
Arithmetic,NEG,Two's Complement Negation,NEG reg16,F7 /3,11111111 11011mmm,2,1,-
Other,NOP,No Operation,NOP,90,10010000,1,1,-
Bitwise,NOT,One's Complement Negation,NOT mem8,F6 /2,11110110 oo010mmm,2+,3,-
Bitwise,NOT,One's Complement Negation,NOT mem16,F7 /2,11111111 oo010mmm,2+,3,-
Bitwise,NOT,One's Complement Negation,NOT reg8,F6 /2,11111110 11010mmm,2,1,-
Bitwise,NOT,One's Complement Negation,NOT reg16,F7 /2,11111111 11010mmm,2,1,-
Bitwise,OR,Logical Inclusive OR,"OR AL, imm",0C ii,00001100 iiiiiiii,2,1,-
Bitwise,OR,Logical Inclusive OR,"OR AX, imm",0D ii ii,00001101 iiiiiiii iiiiiiii,3,1,-
