Group,Label,Description,Format,Hex,Instruction,Bytes,Cycles,Aliases
Bitwise,OR,Logical Inclusive OR,"OR mem8, imm8",80 /6 ii,10000000 oo001mmm iiiiiiii,3+,3,-
Bitwise,OR,Logical Inclusive OR,"OR mem16, imm16",81 /6 ii ii,10000001 oo001mmm iiiiiiii iiiiiiii,4+,3,-
Bitwise,OR,Logical Inclusive OR,"OR mem16, simm8",83 /6 ii,10000011 oo001mmm iiiiiiii,3+,3,-
Bitwise,OR,Logical Inclusive OR,"OR mem8, reg8",08 /r,00001000 oorrrmmm,2+,3,-
Bitwise,OR,Logical Inclusive OR,"OR mem16, reg16",09 /r,00001001 oorrrmmm,2+,3,-
Bitwise,OR,Logical Inclusive OR,"OR reg8, imm8",80 /6 ii,10000000 11001mmm iiiiiiii,3,1,-
Bitwise,OR,Logical Inclusive OR,"OR reg16, imm16",81 /6 ii ii,10000001 11001mmm iiiiiiii iiiiiiii,4,1,-
Bitwise,OR,Logical Inclusive OR,"OR reg16, simm8",83 /6 ii,10000011 11001mmm iiiiiiii,3,1,-
Bitwise,OR,Logical Inclusive OR,"OR reg8, mem8",0A /r,00001010 oorrrmmm,2+,2,-
Bitwise,OR,Logical Inclusive OR,"OR reg16, mem16",0B /r,00001011 oorrrmmm,2+,2,-
Bitwise,OR,Logical Inclusive OR,"OR reg8, reg8",08 /r,000010.0 11rrrmmm,2,1,-
Bitwise,OR,Logical Inclusive OR,"OR reg16, reg16",09 /r,000010.1 11rrrmmm,2,1,-
Ports,OUT,Output to Port,"OUT DX, AL",EE,11101110,1,6,-
Ports,OUT,Output to Port,"OUT DX, AX",EF,11101111,1,6,-
Ports,OUT,Output to Port,"OUT imm8, AL",E6 ii,11100110 iiiiiiii,2,6,-
Ports,OUT,Output to Port,"OUT imm8, AX",E7 ii,11100111 iiiiiiii,2,6,-
Ports,OUTSB,Output String to Port,OUTSB,6E,01101110,1,6,OUTM
Ports,OUTSW,Output String to Port,OUTSW,6F,01101111,1,6,OUTM
Stack,POP,Pop Value From the Stack,POP mem16,8F /0,10001111 oo000mmm,2+,3,-
Stack,POP,Pop Value From the Stack,POP reg16,5x,01011xxx,1,1,-
Stack,POP,Pop Value From the Stack,POP reg16,8F /0,10001111 11000mmm,2,1,-
Stack,POP,Pop Value From the Stack,POP sreg16,xx,000xx111,1,3,-
Stack,POPA,Pop All General Registers,POPA,61,01100001,1,8,POP
Stack,POPF,Pop Stack Into EFLAGS,POPF,9D,10011101,1,3,POP
Stack,PUSH,Push Word Onto the Stack,PUSH simm8,6A ii,01101010 iiiiiiii,2,1,-
Stack,PUSH,Push Word Onto the Stack,PUSH imm16,68 ii ii,01101000 iiiiiiii iiiiiiii,3,1,-
Stack,PUSH,Push Word Onto the Stack,PUSH mem16,FF /6,11111111 oo110mmm,2+,2,-
Stack,PUSH,Push Word Onto the Stack,PUSH reg16,5x,01010xxx,1,1,-
Stack,PUSH,Push Word Onto the Stack,PUSH reg16,FF /6,11111111 11110mmm,2,1,-
Stack,PUSH,Push Word Onto the Stack,PUSH sreg16,xx,000xx110,1,2,-
Stack,PUSHA,Push All General Registers,PUSHA,60,01100000,1,9,PUSH
Stack,PUSHF,Push EFLAGS Onto Stack,PUSHF,9C,10011100,1,2,PUSH
Shift,RCL,Rotate,"RCL mem8, 1",D0 /2,11010000 oo010rm,2+,3,ROLC
Shift,RCL,Rotate,"RCL mem8, CL",D2 /2,11010010 oo010rm,2+,5,ROLC
Shift,RCL,Rotate,"RCL mem8, imm8",C0 /2 ii,11000000 oo010mmm iiiiiiii,3+,5,ROLC
Shift,RCL,Rotate,"RCL mem16, 1",D1 /2,11010001 oo010rm,2+,3,ROLC
Shift,RCL,Rotate,"RCL mem16, CL",D3 /2,11010011 oo010rm,2+,5,ROLC
Shift,RCL,Rotate,"RCL mem16, imm8",C1 /2 ii,11000001 oo010mmm iiiiiiii,3+,5,ROLC
Shift,RCL,Rotate,"RCL reg8, 1",D0 /2,11010000 11010rm,2,1,ROLC
Shift,RCL,Rotate,"RCL reg8, CL",D2 /2,11010010 11010rm,2,3,ROLC
Shift,RCL,Rotate,"RCL reg8, imm8",C0 /2 ii,11000000 11010mmm iiiiiiii,3,3,ROLC
Shift,RCL,Rotate,"RCL reg16, 1",D1 /2,11010001 11010rm,2,1,ROLC
Shift,RCL,Rotate,"RCL reg16, CL",D3 /2,11010011 11010rm,2,3,ROLC
Shift,RCL,Rotate,"RCL reg16, imm8",C1 /2 ii,11000001 11010mmm iiiiiiii,3,3,ROLC
Shift,RCR,Rotate,"RCR mem8, 1",D0 /3,11010000 oo011rm,2+,3,RORC
Shift,RCR,Rotate,"RCR mem8, CL",D2 /3,11010010 oo011rm,2+,5,RORC
Shift,RCR,Rotate,"RCR mem8, imm8",C0 /3 ii,11000000 oo011mmm iiiiiiii,3+,5,RORC
Shift,RCR,Rotate,"RCR mem16, 1",D1 /3,11010001 oo011rm,2+,3,RORC
Shift,RCR,Rotate,"RCR mem16, CL",D3 /3,11010011 oo011rm,2+,5,RORC
Shift,RCR,Rotate,"RCR mem16, imm8",C1 /3 ii,11000001 oo011mmm iiiiiiii,3+,5,RORC
Shift,RCR,Rotate,"RCR reg8, 1",D0 /3,11010000 11011rm,2,1,RORC
Shift,RCR,Rotate,"RCR reg8, CL",D2 /3,11010010 11011rm,2,3,RORC
Shift,RCR,Rotate,"RCR reg8, imm8",C0 /3 ii,11000000 11011mmm iiiiiiii,3,3,RORC
Shift,RCR,Rotate,"RCR reg16, 1",D1 /3,11010001 11011rm,2,1,RORC
Shift,RCR,Rotate,"RCR reg16, CL",D3 /3,11010011 11011rm,2,3,RORC
Shift,RCR,Rotate,"RCR reg16, imm8",C1 /3 ii,11000001 11011mmm iiiiiiii,3,3,RORC
String,REP,Repeat String Operation Prefix,REP,F3 /?,11110011,2+,2,REPE | REPZ
String,REPNE,Repeat String Operation Prefix,REPNE,F2 /?,11110010,2+,2,REPNZ
Jump,RET,Return From Procedure,RET,C3,11000011,1,6,-
Jump,RET,Return From Procedure,RET imm16,C2 ii ii,11000010 iiiiiiii iiiiiiii,1,6,-
Jump,RETF,,RETF,CB,11001011,1,8,RET
Jump,RETF,,RETF imm16,CA ii ii,11001010 iiiiiiii iiiiiiii,1,9,RET
Shift,ROL,Rotate,"ROL mem8, 1",D0 /0,11010000 oo000rm,2+,3,-
Shift,ROL,Rotate,"ROL mem8, CL",D2 /0,11010010 oo000rm,2+,5,-
Shift,ROL,Rotate,"ROL mem8, imm8",C0 /0 ii,11000000 oo000mmm iiiiiiii,3+,5,-
Shift,ROL,Rotate,"ROL mem16, 1",D1 /0,11010001 oo000rm,2+,3,-
Shift,ROL,Rotate,"ROL mem16, CL",D3 /0,11010011 oo000rm,2+,5,-
Shift,ROL,Rotate,"ROL mem16, imm8",C1 /0 ii,11000001 oo000mmm iiiiiiii,3+,5,-
Shift,ROL,Rotate,"ROL reg8, 1",D0 /0,11010000 11000rm,2,1,-
Shift,ROL,Rotate,"ROL reg8, CL",D2 /0,11010010 11000rm,2,3,-
Shift,ROL,Rotate,"ROL reg8, imm8",C0 /0 ii,11000000 11000mmm iiiiiiii,3,3,-
Shift,ROL,Rotate,"ROL reg16, 1",D1 /0,11010001 11000rm,2,1,-
Shift,ROL,Rotate,"ROL reg16, CL",D3 /0,11010011 11000rm,2,3,-
Shift,ROL,Rotate,"ROL reg16, imm8",C1 /0 ii,11000001 11000mmm iiiiiiii,3,3,-
Shift,ROR,Rotate,"ROR mem8, 1",D0 /1,11010000 oo001rm,2+,3,-
Shift,ROR,Rotate,"ROR mem8, CL",D2 /1,11010010 oo001rm,2+,5,-
Shift,ROR,Rotate,"ROR mem8, imm8",C0 /1 ii,11000000 oo001mmm iiiiiiii,3+,5,-
Shift,ROR,Rotate,"ROR mem16, 1",D1 /1,11010001 oo001rm,2+,3,-
Shift,ROR,Rotate,"ROR mem16, CL",D3 /1,11010011 oo001rm,2+,5,-
Shift,ROR,Rotate,"ROR mem16, imm8",C1 /1 ii,11000001 oo001mmm iiiiiiii,3+,5,-
Shift,ROR,Rotate,"ROR reg8, 1",D0 /1,11010000 11001rm,2,1,-
Shift,ROR,Rotate,"ROR reg8, CL",D2 /1,11010010 11001rm,2,3,-
Shift,ROR,Rotate,"ROR reg8, imm8",C0 /1 ii,11000000 11001mmm iiiiiiii,3,3,-
Shift,ROR,Rotate,"ROR reg16, 1",D1 /1,11010001 11001rm,2,1,-
Shift,ROR,Rotate,"ROR reg16, CL",D3 /1,11010011 11001rm,2,3,-
Shift,ROR,Rotate,"ROR reg16, imm8",C1 /1 ii,11000001 11001mmm iiiiiiii,3,3,-
Flags,SAHF,Store AH Into Flags,SAHF,9E,10011110,1,4,MOV
Shift,SAR,Shift,"SAR mem8, 1",D0 /7,11010000 oo111rm,2+,3,SHRA
Shift,SAR,Shift,"SAR mem8, CL",D2 /7,11010010 oo111rm,2+,5,SHRA
Shift,SAR,Shift,"SAR mem8, imm8",C0 /7 ii,11000000 oo111mmm iiiiiiii,3+,5,SHRA
Shift,SAR,Shift,"SAR mem16, 1",D1 /7,11010001 oo111rm,2+,3,SHRA
Shift,SAR,Shift,"SAR mem16, CL",D3 /7,11010011 oo111rm,2+,5,SHRA
Shift,SAR,Shift,"SAR mem16, imm8",C1 /7 ii,11000001 oo111mmm iiiiiiii,3+,5,SHRA
Shift,SAR,Shift,"SAR reg8, 1",D0 /7,11010000 11111rm,2,1,SHRA
Shift,SAR,Shift,"SAR reg8, CL",D2 /7,11010010 11111rm,2,3,SHRA
Shift,SAR,Shift,"SAR reg8, imm8",C0 /7 ii,11000000 11111mmm iiiiiiii,3,3,SHRA
Shift,SAR,Shift,"SAR reg16, 1",D1 /7,11010001 11111rm,2,1,SHRA
Shift,SAR,Shift,"SAR reg16, CL",D3 /7,11010011 11111rm,2,3,SHRA
Shift,SAR,Shift,"SAR reg16, imm8",C1 /7 ii,11000001 11111mmm iiiiiiii,3,3,SHRA
Arithmetic,SBB,Integer Subtraction With Borrow,"SBB AL, imm",1C ii,00011100 iiiiiiii,2,1,SUBC
Arithmetic,SBB,Integer Subtraction With Borrow,"SBB AX, imm",1D ii ii,00011101 iiiiiiii iiiiiiii,3,1,SUBC
Arithmetic,SBB,Integer Subtraction With Borrow,"SBB mem8, imm8",80 /3 ii,10000000 oo011mmm iiiiiiii,3+,3,SUBC
Arithmetic,SBB,Integer Subtraction With Borrow,"SBB mem16, imm16",81 /3 ii ii,10000001 oo011mmm iiiiiiii iiiiiiii,4+,3,SUBC
Arithmetic,SBB,Integer Subtraction With Borrow,"SBB mem16, simm8",83 /3 ii,10000011 oo011mmm iiiiiiii,3+,3,SUBC
Arithmetic,SBB,Integer Subtraction With Borrow,"SBB mem8, reg8",18 /r,00011000 oorrrmmm,2+,3,SUBC
Arithmetic,SBB,Integer Subtraction With Borrow,"SBB mem16, reg16",19 /r,00011001 oorrrmmm,2+,3,SUBC
Arithmetic,SBB,Integer Subtraction With Borrow,"SBB reg8, imm8",80 /3 ii,10000000 11011mmm iiiiiiii,3,1,SUBC
Arithmetic,SBB,Integer Subtraction With Borrow,"SBB reg16, imm16",81 /3 ii ii,10000001 11011mmm iiiiiiii iiiiiiii,4,1,SUBC
Arithmetic,SBB,Integer Subtraction With Borrow,"SBB reg16, simm8",83 /3 ii,10000011 11011mmm iiiiiiii,3,1,SUBC
Arithmetic,SBB,Integer Subtraction With Borrow,"SBB reg8, mem8",1A /r,00011010 oorrrmmm,2+,2,SUBC
Arithmetic,SBB,Integer Subtraction With Borrow,"SBB reg16, mem16",1B /r,00011011 oorrrmmm,2+,2,SUBC
Arithmetic,SBB,Integer Subtraction With Borrow,"SBB reg8, reg8",18 /r,000110.0 11rrrmmm,2,1,SUBC
Arithmetic,SBB,Integer Subtraction With Borrow,"SBB reg16, reg16",19 /r,000110.1 11rrrmmm,2,1,SUBC
String,SCASB,Scan String,SCASB,AE,10101110,1,4,CMPMB
String,SCASW,Scan String,SCASW,AF,10101111,1,4,CMPMW
Shift,SHL,Shift,"SHL mem8, 1",D0 /4,11010000 oo100rm,2+,3,-
Shift,SHL,Shift,"SHL mem8, CL",D2 /4,11010010 oo100rm,2+,5,-
Shift,SHL,Shift,"SHL mem8, imm8",C0 /4 ii,11000000 oo100mmm iiiiiiii,3+,5,-
Shift,SHL,Shift,"SHL mem16, 1",D1 /4,11010001 oo100rm,2+,3,-
Shift,SHL,Shift,"SHL mem16, CL",D3 /4,11010011 oo100rm,2+,5,-
Shift,SHL,Shift,"SHL mem16, imm8",C1 /4 ii,11000001 oo100mmm iiiiiiii,3+,5,-
Shift,SHL,Shift,"SHL reg8, 1",D0 /4,11010000 11100rm,2,1,-
Shift,SHL,Shift,"SHL reg8, CL",D2 /4,11010010 11100rm,2,3,-
Shift,SHL,Shift,"SHL reg8, imm8",C0 /4 ii,11000000 11100mmm iiiiiiii,3,3,-
Shift,SHL,Shift,"SHL reg16, 1",D1 /4,11010001 11100rm,2,1,-
Shift,SHL,Shift,"SHL reg16, CL",D3 /4,11010011 11100rm,2,3,-
Shift,SHL,Shift,"SHL reg16, imm8",C1 /4 ii,11000001 11100mmm iiiiiiii,3,3,-
Shift,SHR,Shift,"SHR mem8, 1",D0 /5,11010000 oo101rm,2+,3,-
Shift,SHR,Shift,"SHR mem8, CL",D2 /5,11010010 oo101rm,2+,5,-
Shift,SHR,Shift,"SHR mem8, imm8",C0 /5 ii,11000000 oo101mmm iiiiiiii,3+,5,-
Shift,SHR,Shift,"SHR mem16, 1",D1 /5,11010001 oo101rm,2+,3,-
Shift,SHR,Shift,"SHR mem16, CL",D3 /5,11010011 oo101rm,2+,5,-
Shift,SHR,Shift,"SHR mem16, imm8",C1 /5 ii,11000001 oo101mmm iiiiiiii,3+,5,-
Shift,SHR,Shift,"SHR reg8, 1",D0 /5,11010000 11101rm,2,1,-
Shift,SHR,Shift,"SHR reg8, CL",D2 /5,11010010 11101rm,2,3,-
Shift,SHR,Shift,"SHR reg8, imm8",C0 /5 ii,11000000 11101mmm iiiiiiii,3,3,-
Shift,SHR,Shift,"SHR reg16, 1",D1 /5,11010001 11101rm,2,1,-
Shift,SHR,Shift,"SHR reg16, CL",D3 /5,11010011 11101rm,2,3,-
Shift,SHR,Shift,"SHR reg16, imm8",C1 /5 ii,11000001 11101mmm iiiiiiii,3,3,-
Prefix,SS,,SS,36,00110110,1,1,-
Flags,STC,Set Carry Flag,STC,F9,11111001,1,4,SET1 CY
Flags,STD,Set Direction Flag,STD,FD,11111101,1,4,SET1 DIR
Flags,STI,Set Interrupt Flag,STI,FB,11111011,1,4,EI
String,STOSB,Store String,STOSB,AA,10101010,1,3,STMB
String,STOSW,Store String,STOSW,AB,10101011,1,3,STMW
Arithmetic,SUB,Subtract,"SUB AL, imm",28 ii,00101100 iiiiiiii,2,1,-
Arithmetic,SUB,Subtract,"SUB AX, imm",29 ii ii,00101101 iiiiiiii iiiiiiii,3,1,-
Arithmetic,SUB,Subtract,"SUB mem8, imm8",80 /5 ii,10000000 oo101mmm iiiiiiii,3+,3,-
Arithmetic,SUB,Subtract,"SUB mem16, imm16",81 /5 ii ii,10000001 oo101mmm iiiiiiii iiiiiiii,4+,3,-
Arithmetic,SUB,Subtract,"SUB mem16, simm8",83 /5 ii,10000011 oo101mmm iiiiiiii,3+,3,-
Arithmetic,SUB,Subtract,"SUB mem8, reg8",28 /r,00101000 oorrrmmm,2+,3,-
Arithmetic,SUB,Subtract,"SUB mem16, reg16",29 /r,00101001 oorrrmmm,2+,3,-
Arithmetic,SUB,Subtract,"SUB reg8, imm8",80 /5 ii,10000000 11101mmm iiiiiiii,3,1,-
Arithmetic,SUB,Subtract,"SUB reg16, imm16",81 /5 ii ii,10000001 11101mmm iiiiiiii iiiiiiii,4,1,-
Arithmetic,SUB,Subtract,"SUB reg16, simm8",83 /5 ii,10000011 11101mmm iiiiiiii,3,1,-
Arithmetic,SUB,Subtract,"SUB reg8, mem8",2A /r,00101010 oorrrmmm,2+,2,-
Arithmetic,SUB,Subtract,"SUB reg16, mem16",2B /r,00101011 oorrrmmm,2+,2,-
Arithmetic,SUB,Subtract,"SUB reg8, reg8",28 /r,001010.0 11rrrmmm,2,1,-
Arithmetic,SUB,Subtract,"SUB reg16, reg16",29 /r,001010.1 11rrrmmm,2,1,-
Bitwise,TEST,Logical Compare,"TEST AL, imm",A8 ii,10101000 iiiiiiii,2,1,-
Bitwise,TEST,Logical Compare,"TEST AX, imm",A9 ii ii,10101001 iiiiiiii iiiiiiii,3,1,-
Bitwise,TEST,Logical Compare,"TEST mem8, imm8",F6 /0 ii,11110110 oo000mmm iiiiiiii,3+,2,-
Bitwise,TEST,Logical Compare,"TEST mem16, imm16",F7 /0 ii ii,11110111 oo000mmm iiiiiiii iiiiiiii,4+,2,-
Bitwise,TEST,Logical Compare,"TEST mem8, reg8TEST reg8, mem8",84 /r,10000100 oorrrmmm,2+,2,-
Bitwise,TEST,Logical Compare,"TEST mem16, reg16TEST reg16, mem16",85 /r,10000101 oorrrmmm,2+,2,-
Bitwise,TEST,Logical Compare,"TEST reg8, imm8",F6 /0 ii,11110110 11000mmm iiiiiiii,3,1,-
Bitwise,TEST,Logical Compare,"TEST reg16, imm16",F7 /0 ii ii,11110111 11000mmm iiiiiiii iiiiiiii,4,1,-
Bitwise,TEST,Logical Compare,"TEST reg8, reg8",84 /r,10000100 11rrrmmm,2,1,-
Bitwise,TEST,Logical Compare,"TEST reg16, reg16",85 /r,10000101 11rrrmmm,2,1,-
Other,WAIT,Wait,WAIT,9B,10011011,1,9[1],POLL
Memory,XCHG,Exchange Register/Memory,"XCHG AX, reg16XCHG reg16, AX",9x,10010rrr,1,3,XCH
Memory,XCHG,Exchange Register/Memory,"XCHG mem8, reg8XCHG reg8, mem8",86 /r,10000110 oorrrmmm,2+,5,XCH
Memory,XCHG,Exchange Register/Memory,"XCHG mem16, reg16XCHG reg16, mem16",87 /r,10000111 oorrrmmm,2+,5,XCH
Memory,XCHG,Exchange Register/Memory,"XCHG reg8, reg8",86 /r,10000110 11rrrmmm,2+,3,XCH
Memory,XCHG,Exchange Register/Memory,"XCHG reg16, reg16",87 /r,10000111 11rrrmmm,2+,3,XCH
Memory,XLAT,Table Lookup Translation,XLAT,D7,11010111,1,5,TRANS
Bitwise,XOR,Logical Exclusive OR,"XOR AL, imm",34 ii,00110100 iiiiiiii,2,1,-
Bitwise,XOR,Logical Exclusive OR,"XOR AX, imm",35 ii ii,00110101 iiiiiiii iiiiiiii,3,1,-
Bitwise,XOR,Logical Exclusive OR,"XOR mem8, imm8",80 /6 ii,10000000 oo110mmm iiiiiiii,3+,3,-
Bitwise,XOR,Logical Exclusive OR,"XOR mem16, imm16",81 /6 ii ii,10000001 oo110mmm iiiiiiii iiiiiiii,4+,3,-
Bitwise,XOR,Logical Exclusive OR,"XOR mem16, simm8",83 /6 ii,10000011 oo110mmm iiiiiiii,3+,3,-
Bitwise,XOR,Logical Exclusive OR,"XOR mem8, reg8",30 /r,00110000 oorrrmmm,2+,3,-
Bitwise,XOR,Logical Exclusive OR,"XOR mem16, reg16",31 /r,00110001 oorrrmmm,2+,3,-
Bitwise,XOR,Logical Exclusive OR,"XOR reg8, imm8",80 /6 ii,10000000 11110mmm iiiiiiii,3,1,-
Bitwise,XOR,Logical Exclusive OR,"XOR reg16, imm16",81 /6 ii ii,10000001 11110mmm iiiiiiii iiiiiiii,4,1,-
Bitwise,XOR,Logical Exclusive OR,"XOR reg16, simm8",83 /6 ii,10000011 11110mmm iiiiiiii,3,1,-
Bitwise,XOR,Logical Exclusive OR,"XOR reg8, mem8",32 /r,00110010 oorrrmmm,2+,2,-
Bitwise,XOR,Logical Exclusive OR,"XOR reg16, mem16",33 /r,00110011 oorrrmmm,2+,2,-
Bitwise,XOR,Logical Exclusive OR,"XOR reg8, reg8",30 /r,001100.0 11rrrmmm,2,1,-
Bitwise,XOR,Logical Exclusive OR,"XOR reg16, reg16",31 /r,001100.1 11rrrmmm,2,1,-
